Original,Furigana,English,JLPT Level,Korean
～時間目,～じかんめ,"~th hour, ~th period",N2,"~번째 시간, ~번째 교시"
～室,～しつ,counter for room,N2,방 카운터
～日,～じつ,day,N2,낮
～車,～しゃ,~ car,N2,~ 자동차
～者,～しゃ,person,N2,사람
～社,～しゃ,counter for company,N2,회사 카운터
～手,～しゅ,"~ player, person who does ~",N2,"~선수, ~하는 사람"
～酒,～しゅ,kind of alcohol,N2,알코올의 종류
～集,～しゅう,collection of ~,N2,~의 수집
～所,～しょ,place,N2,장소
～所,～じょ,place,N2,장소
～女,～じょ,count for sisters,N2,자매로 계산
～省,～しょう,kind of ministry,N2,일종의 사역
～商,～しょう,"merchant, business",N2,"상인, 사업"
～勝,～しょう,count for victory,N2,승리를 계산하다
～条,～じょう,counter for article,N2,기사 카운터
～場,～じょう,"kind of field, ground",N2,"들판, 땅의 종류"
～畳,～じょう,"count for tatami, mat",N2,"다다미, 매트 계산"
～色,～しょく,kind of color,N2,색깔의 종류
～過ぎる,～すぎる,too much ~,N2,너무 많아 ~
～済,～ずみ,finished,N2,완성된
～席,～せき,counter for seats,N2,좌석 카운터
～船,～せん,counter for ships,N2,선박용 카운터
～戦,～せん,"counter for games, matches",N2,"게임, 성냥 카운터"
～前,～ぜん,before ~,N2,~전에
～沿い,～そい,along,N2,~을 따라
～艘,～そう,counter for ships,N2,선박용 카운터
～足,～そく,counter for shoes,N2,신발 카운터
～だらけ,～だらけ,"be full of ~, be filled with ~",N2,"~으로 가득 차다, ~로 가득 차다"
～団,～だん,"group, corps, party",N2,"단체, 군단, 당"
～着,～ちゃく,counter for clothes; finishing place,N2,옷 카운터; 마무리 장소
～庁,～ちょう,"office, agency",N2,"사무실, 대리점"
～兆,～ちょう,trillion,N2,일조
～長,～ちょう,"leader, head",N2,"리더, 머리"
～帳,～ちょう,"~ book, notebook",N2,"~ 책, 노트"
～丁目,～ちょうめ,"~ district (of a town; city, block)",N2,"~ 지구 (마을의; 도시, 블록)"
～通,～つう,counter for letters,N2,편지 카운터
～遣い,～づかい,use of ~,N2,~의 사용
～付,～つき,with ~,N2,~와 함께
～続く,～つづく,"follow, continue, go on",N2,"따라가다, 계속하다, 계속하다"
～辛い,～づらい,hard to do ~,N2,~하기 어렵다
～滴,～てき,drop,N2,떨어지다
～点,～てん,counter for scores,N2,점수 카운터
～頭,～とう,counter for animals,N2,동물용 카운터
～等,～とう,"level, place",N2,"레벨, 장소"
～島,～とう,kind of islands,N2,섬의 종류
～道,～どう,"kind of path, road",N2,"일종의 길, 도로"
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue",N2,"~에 따라; ~을 따르다; ~ 거리, ~ 거리"
～ところ,～ところ,about to do ~,N2,~할 예정이다
～内,～ない,inside ~,N2,내부 ~
～年生,～ねんせい,counter for school year,N2,학년 카운터
～泊,～はく,"counter for staying (e.g., 2 nights)",N2,숙박 카운터(예: 2박)
～発,～はつ,counter for bullets,N2,총알 카운터
～番目,～ばんめ,~th,N2,~일
～費,～ひ,cost of ~,N2,~의 비용
～病,～びょう,kind of disease,N2,질병의 종류
～部,～ぶ,~ part,N2,~ 부분
～風,～ふう,~ style,N2,~ 스타일
～振り,～ぶり,after an interval of ~,N2,~의 간격을 두고
～遍,～へん,time,N2,시간
～弁,～べん,"speech, dialect",N2,"연설, 방언"
～歩,～ほ,"step, pace",N2,"걸음, 속도"
～ぽい,～ぽい,~ish,N2,~같은
～ほう (ひかく),～ほう (ひかく),(in comparison),N2,(비교)
～みたい,～みたい,looks like ~,N2,~처럼 보인다
～向け,～むけ,for ~,N2,~을 위해
～名,～めい,counter for people,N2,사람들을 위한 카운터
～もち,～もち,person who has ~,N2,~을 가진 사람
～問,～もん,counter for questions,N2,질문 카운터
～夜,～や,counter for nights,N2,밤에는 카운터
～等,～ら,plural persons,N2,복수 명
～流,～りゅう,"fashion, manner, way",N2,"패션, 매너, 방식"
～料,～りょう,"fare, charge",N2,"요금, 요금"
～領,～りょう,territory,N2,지역
～力,～りょく,power of ~,N2,~의 힘
～論,～ろん,theory,N2,이론
～羽,～わ,counter for rabbits; birds,N2,토끼 카운터; 조류
相変わらず,あいかわらず,"as usual, as always, as before, as ever, still",N2,"언제나처럼, 언제나처럼, 예전처럼, 여전히, 여전히"
アイデア; アイディア,アイデア; アイディア,idea,N2,아이디어
あいまい,あいまい,"vague, ambiguous",N2,"모호한, 모호한"
扇ぐ,あおぐ,"to fan, to flap",N2,"부채질하다, 펄럭이다"
青白い,あおじろい,pale,N2,창백한
呆れる,あきれる,"to be shocked, to be appalled",N2,"충격을 받다, 경악하다"
アクセント,アクセント,accent,N2,악센트
あくび,あくび,yawn,N2,따분한 사람
飽くまで,あくまで,"to the end, to the last, stubbornly",N2,"끝까지, 끝까지, 고집스럽게"
明くる～,あくる～,"next, following",N2,"다음, 다음"
明け方,あけがた,dawn,N2,새벽
憧れる,あこがれる,"to long for, to yearn after",N2,"동경하다, 동경하다"
朝寝坊,あさねぼう,"oversleeping, late riser",N2,"늦잠, 늦게 일어나는 사람"
足跡,あしあと,footprint,N2,발자국
足元,あしもと,at one's feet,N2,발 밑에
味わう,あじわう,"to taste, to savor",N2,"맛보다, 맛보다"
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of",N2,"보관하다, 보관하다, 맡다, 맡다"
温まる,あたたまる,to warm oneself,N2,몸을 따뜻하게 하다
当たり前,あたりまえ,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm",N2,"자연스러운, 합리적인, 명백한, 보통의, 일반적인, 보통의, 평범한, 규범"
あちらこちら,あちらこちら,here and there,N2,이리저리
厚かましい,あつかましい,"impudent, shameless,",N2,"뻔뻔한, 뻔뻔한,"
圧縮,あっしゅく,"compression, condensation, pressure",N2,"압축, 응축, 압력"
宛名,あてな,"address, direction",N2,"주소, 방향"
当てはまる,あてはまる,"to be applicable, to come under (a category)",N2,"적용 가능하다, (범주)에 속하다"
当てはめる,あてはめる,"to apply, to adapt",N2,"적용하다, 적응하다"
暴れる,あばれる,"to act violently, to rage",N2,"난폭하게 행동하다, 화를 내다"
脂,あぶら,"fat, tallow, lard",N2,"지방, 수지, 라드"
あぶる,あぶる,"to scorch, to roast",N2,"태우다, 굽다"
あふれる,あふれる,"to flood, to overflow",N2,"범람하다, 범람하다"
雨戸,あまど,sliding storm door,N2,슬라이딩 폭풍 문
甘やかす,あまやかす,"to pamper, to spoil",N2,"애지중지하다, 망치다"
余る,あまる,"to be left over, to be in excess",N2,"남다, 초과하다"
編み物,あみもの,knitting,N2,편물
あみもの,あみもの,"knitting, web",N2,"뜨개질, 웹"
編む,あむ,to knit,N2,뜨개질하다
危うい,あやうい,"dangerous, critical",N2,"위험한, 중대한"
怪しい,あやしい,"suspicious, dubious, doubtful",N2,"의심스러운, 의심스러운, 의심스러운"
荒い,あらい,"rough, rude, wild",N2,"거친, 무례한, 거친"
粗い,あらい,"coarse, rough",N2,"거친, 거친"
粗筋,あらすじ,"outline, synopsis",N2,"개요, 개요"
争う,あらそう,"to compete, to contest, to contend to quarrel, to argue, to dispute, to be at variance, to oppose",N2,"경쟁하다, 경쟁하다, 논쟁하다, 논쟁하다, 논쟁하다, 반대하다, 반대하다"
改めて,あらためて,"another time, again",N2,또 다시
改める,あらためる,"to change, to reform, to revise",N2,"바꾸다, 개혁하다, 개정하다"
あらわす,あらわす,"to write, to publish",N2,"집필하다, 출판하다"
有難い,ありがたい,"grateful, thankful, appreciated",N2,"고마워요, 고마워요, 고맙습니다"
あれこれ,あれこれ,"one thing or another, this and that",N2,"이것저것, 이것저것"
荒れる,あれる,"to be stormy, to be rough, to be ruined",N2,"폭풍우가 치다, 거칠다, 망가지다"
慌ただしい,あわただしい,"busy, hurried",N2,"바쁘다, 서두르다"
慌てる,あわてる,"to become confused (disconcerted, disorganized), to be flustered, to panic, to hurry, to rush, to hasten",N2,"혼란스러워지다 (당황하다, 혼란스러워지다), 당황하다, 당황하다, 서두르다, 서두르다, 서두르다"
安易,あんい,easy-going,N2,여유로운
案外,あんがい,"unexpectedly, surprisingly",N2,"뜻밖의, 놀랍게도"
アンテナ,アンテナ,antenna,N2,안테나
言い出す,いいだす,"to start talking, to suggest",N2,"말을 시작하다, 제안하다"
言い付ける,いいつける,"to tell, to order",N2,"말하다, 주문하다"
意義,いぎ,"meaning, significance",N2,"의미, 의의"
生き生き,いきいき,"vividly, lively",N2,"생생하게, 생기있게"
いきなり,いきなり,all of a sudden,N2,갑자기
幾～,いく～,several ~,N2,여러 ~
育児,いくじ,"childcare, nursing",N2,"육아, 간호"
幾分,いくぶん,somewhat,N2,약간
生け花,いけばな,flower arrangement,N2,꽃꽂이
以後,いご,after this; from now on; hereafter,N2,이 후에; 지금부터; 이후
イコール,イコール,equal,N2,동일한
以降,いこう,"on and after, hereafter",N2,"앞으로도, 앞으로도"
勇ましい,いさましい,"brave, valiant",N2,"용감한, 용감한"
衣食住,いしょくじゅう,"food, clothing and shelter",N2,"음식, 의복 및 피난처"
いちいち,いちいち,"one by one, separately",N2,"하나씩, 따로"
一応,いちおう,"tentatively, for the time being",N2,"잠정적으로, 당분간"
一段と,いちだんと,"by far, greater",N2,훨씬 더 큰
一流,いちりゅう,"first class, leading",N2,"일등, 선두"
一昨日,いっさくじつ,day before yesterday,N2,그저께
一昨年,いっさくねん,year before last,N2,지난 해
一斉,いっせい,"simultaneous, all at once",N2,"동시에, 한꺼번에"
一旦,いったん,"once, for a moment",N2,"한 번, 잠시 동안"
一定,いってい,"fixed, settled, regular",N2,"고정된, 고정된, 정기적인"
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you",N2,"좋은 하루 보내세요, 또 만나요"
いってきます,いってきます,"(Lit.) I'll go and come back, 'I'm going, see you later'",N2,"(Lit.) 갔다가 돌아올게 '갈게, 이따 봐'"
いってまいります,いってまいります,"(Lit.) I'll go and come back, 'I'm going, see you later'",N2,"(Lit.) 갔다가 돌아올게 '갈게, 이따 봐'"
行ってらっしゃい,いってらっしゃい,"have a nice day, see you",N2,"좋은 하루 보내세요, 또 만나요"
移転,いてん,"moving, transfer",N2,"이사하다, 옮기다"
井戸,いど,water well,N2,우물
緯度,いど,latitude (navigation),N2,위도(탐색)
威張る,いばる,"to be proud, to swagger",N2,"자랑스러워하다, 뽐내다"
嫌がる,いやがる,"reluctant, to dislike",N2,"꺼려하다, 싫어하다"
いよいよ,いよいよ,"more and more, increasingly, at last",N2,"점점 더, 점점 더, 마침내"
煎る,いる,to roast,N2,굽다
炒る,いる,"to parch, to roast",N2,"볶다, 굽다"
入れ物,いれもの,"container, case",N2,"용기, 케이스"
インキ,インキ,ink,N2,잉크
引力,いんりょく,gravity,N2,중력
ウーマン,ウーマン,woman,N2,여성
ウール,ウール,wool,N2,양모
ウエートレス,ウエートレス,waitress,N2,웨이트리스
植木,うえき,"garden shrubs, trees, potted plant",N2,"정원 관목, 나무, 화분"
飢える,うえる,to starve,N2,굶어 죽다
浮ぶ,うかぶ,"to float, to rise to surface, to come to mind",N2,"떠오르다, 떠오르다, 떠오르다"
浮かべる,うかべる,to float; to express,N2,떠다니다; 표현하다
浮く,うく,to float,N2,떠다니다
承る,うけたまわる,"(humble) to hear, to be told, to know",N2,"(겸손하게) 듣다, 듣다, 알다"
受取,うけとり,receipt,N2,영수증
受け持つ,うけもつ,to take (be in) charge of,N2,~을 맡다(맡다)
薄暗い,うすぐらい,"dim, gloomy",N2,"어둡다, 우울하다"
薄める,うすめる,"to dilute, to water down",N2,"희석시키다, 희석시키다"
打合せ,うちあわせ,"business meeting, previous arrangement",N2,"비즈니스 미팅, 사전 약속"
打ち消す,うちけす,"to deny, to negate",N2,"부정하다, 부정하다"
写る,うつる,"to be photographed, to be projected",N2,"사진을 찍다, 투영하다"
うどん,うどん,udon noodles (Japanese traditional noodles),N2,우동(일본 전통 국수)
うなずく,うなずく,to nod,N2,고개를 끄덕이다
有無,うむ,"existence or nonexistence, presence of absence consent or refusal, yes or no",N2,"존재 유무, 부재 유무 동의 또는 거부, 예 또는 아니오"
埋める,うめる,"to bury, to fill up, to fill (a seat, a vacant position)",N2,"(자리, 빈 자리를) 채우다, 채우다, 채우다"
敬う,うやまう,"to show respect, to honor",N2,"존경심을 표하다, 존경하다"
裏返す,うらがえす,"to turn inside out, to turn (something) over",N2,"(무엇을) 뒤집다, 뒤집다"
裏口,うらぐち,"backdoor, rear entrance",N2,"뒷문, 뒷문"
占う,うらなう,"to predict, to divine",N2,"예측하다, 신성하게 하다"
恨み,うらみ,resentment,N2,원한
恨む,うらむ,"to curse, to feel bitter",N2,"저주하다, 쓰라린 기분을 느끼다"
羨む,うらやむ,to envy,N2,부러워하다
売上,うりあげ,"amount sold, proceeds",N2,"판매금액, 수익금"
売り上げ,うりあげ,"amount sold, sales, proceeds, takings, turnover",N2,"판매 금액, 판매, 수익금, 취득, 매출액"
売り切れ,うりきれ,sold-out,N2,매진
売り切れる,うりきれる,to be sold out,N2,매진되다
売行き,うれゆき,sales,N2,매상
売れ行き,うれゆき,"sales, demand",N2,"판매, 수요"
うろうろ,うろうろ,"loitering, aimless wandering",N2,"배회하다, 목적 없이 방황하다"
上～,うわ～,upper ~,N2,위 ~
運河,うんが,"canal, waterway",N2,"운하, 수로"
うんと,うんと,"a great deal, very much",N2,"아주 많이, 아주 많이"
英文,えいぶん,sentence in English,N2,영어로 된 문장
英和,えいわ,"English-Japanese (e.g., dictionary)",N2,영어-일본어(예: 사전)
ええと,ええと,"let me see, well, er...",N2,"어디 보자, 음, 어..."
液体,えきたい,"liquid, fluid",N2,"액체, 액체"
エチケット,エチケット,etiquette,N2,에티켓
絵の具,えのぐ,"colors, paints",N2,"색상, 페인트"
エプロン,エプロン,apron,N2,앞치마
偉い,えらい,"great, celebrated, remarkable,",N2,"훌륭한, 축하받는, 주목할 만한,"
宴会,えんかい,"party, banquet",N2,"파티, 연회"
園芸,えんげい,"horticulture, gardening",N2,"원예, 원예"
演劇,えんげき,play (theatrical),N2,연극(연극)
円周,えんしゅう,circumference,N2,둘레
遠足,えんそく,"trip, hike, picnic",N2,"여행, 하이킹, 피크닉"
延長,えんちょう,"extension, prolongation",N2,"연장, 연장"
煙突,えんとつ,chimney,N2,굴뚝
オーケストラ,オーケストラ,orchestra,N2,오케스트라
オートメーション,オートメーション,automation,N2,오토메이션
追いかける,おいかける,to chase or run after someone,N2,누군가를 쫓거나 뒤쫓다
追い越す,おいこす,"to pass (e.g., car), to outdistance, to outstrip",N2,"(예: 자동차를) 추월하다, 더 멀리 달리다, 앞지르다"
オイル,オイル,oil,N2,기름
応援,おうえん,"aid, assistance, help, support, reinforcement cheering, rooting (for), support",N2,"원조, 지원, 도움, 지원, 강화 응원, 응원(~을), 지지하다"
王女,おうじょ,princess,N2,공주
応ずる,おうずる,"to respond, to comply with",N2,"응답하다, 준수하다"
応接,おうせつ,reception,N2,리셉션
応対,おうたい,"receiving, dealing with",N2,"받는 것, 다루는 것"
往復,おうふく,"(col) round trip, coming and going, return ticket",N2,"(col) 왕복, 왕복, 왕복 티켓"
欧米,おうべい,"Europe and America, the West",N2,"유럽과 미국, 서부"
応用,おうよう,"application, put to practical use",N2,"응용, 실용화하다"
おおざっぱ,おおざっぱ,"rough (not precise), broad, sketchy",N2,"거친 (정확하지 않음), 넓은, 개략적인"
大通り,おおどおり,main street,N2,큰길
大凡,おおよそ,"about, approximately",N2,"대략, 대략"
お帰り,おかえり,"return, welcome",N2,"돌아오세요, 환영합니다"
おかけください,おかけください,please sit down,N2,앉으세요
おかげさまで,おかげさまで,"Thanks to god, thanks to you",N2,"하느님 덕분에, 덕분에"
おかず,おかず,"side dish, accompaniment for rice dishes",N2,"반찬, 밥반찬"
おかまいなく,おかまいなく,please don't fuss over me,N2,제발 나 때문에 소란을 피우지 마세요
拝む,おがむ,"to worship, to pray",N2,"예배하다, 기도하다"
お代わり,おかわり,"second helping, another cup",N2,"두 번째 도움, 한 잔 더"
補う,おぎなう,to compensate for,N2,보상하다
お気の毒に,おきのどくに,I'm sorry to hear that…,N2,그 말을 들으니 안타깝습니다…
屋外,おくがい,outdoors,N2,옥외
送り仮名,おくりがな,part of word written in kana,N2,가나로 쓰여진 단어의 일부
お元気で,おげんきで,Take care',N2,잘 지내세요'
怠る,おこたる,"to neglect, to fail",N2,"무시하다, 실패하다"
押さえる,おさえる,"to pin down, to hold down, to press down, to hold in place, to hold steady to cover (esp. a part of one's body with one's hand), to clutch (a body part in pain), to press (a body part) to get a hold of, to obtain, to seize, to catch, to arrest",N2,"고정하다, 누르다, 누르다, 제자리에 고정하다, 단단히 붙잡다 (특히 손으로 신체의 일부)를 덮다, 움켜쥐다 (고통이 있는 신체 부위), 누르다 (신체 부위) 움켜쥐다, 획득하다, 붙잡다, 붙잡다, 체포하다"
お先に,おさきに,"before, after you",N2,"너 이전에, 너 이후에"
伯父,おじ,(humble) uncle (older than one's parent),N2,(겸손한) 삼촌 (부모님보다 나이가 많은)
叔父,おじ,uncle (younger than one's parent),N2,삼촌(부모보다 어린)
惜しい,おしい,"regrettable, disappointing",N2,"유감스럽다, 실망스럽다"
伯父さん,おじさん,"(hon.) middle-aged gentleman, uncle",N2,"(hon.) 중년 신사, 삼촌"
小父さん,おじさん,"(hon.) middle-aged gentleman, uncle",N2,"(hon.) 중년 신사, 삼촌"
叔父さん,おじさん,"(hon.) middle-aged gentleman, uncle",N2,"(hon.) 중년 신사, 삼촌"
お邪魔します,おじゃまします,Excuse me for disturbing you,N2,방해해서 미안해요
お世話になりました,おせわになりました,I've been in your care,N2,나는 당신의 보살핌을 받았습니다
お大事に,おだいじに,"Take care of yourself, Take care!, Get well soon",N2,"몸 조심하세요, 건강하세요!, 빨리 나으세요"
落着く,おちつく,"to calm down, to settle down",N2,"진정시키다, 진정시키다"
お出掛け,おでかけ,outing,N2,나들이
お手伝いさん,おてつだいさん,maid,N2,하녀
脅かす,おどかす,"to threaten, to coerce",N2,"위협하다, 강요하다"
落し物,おとしもの,lost property,N2,분실물
驚かす,おどろかす,"to surprise, to frighten",N2,"놀라게 하다, 겁을 주다"
お願いします,おねがいします,"Please (lit., I request)",N2,"제발 (직역하면, 요청합니다)"
各々,おのおの,"each, every, either",N2,"각각, 각각, 어느쪽이든"
伯母,おば,(humble) aunt (older than one's parent),N2,(겸손한) 이모 (부모님보다 나이가 많은)
叔母,おば,aunt (younger than one's parent),N2,이모(부모님보다 어린)
小母さん,おばさん,"lady, woman, ma'am",N2,"아가씨, 여자, 부인"
おはよう,おはよう,(abbr.) Good morning,N2,(축약) 좋은 아침
お参り,おまいり,"worship, shrine visit",N2,"참배, 참배"
お待たせしました,おまたせしました,Sorry to have kept you waiting,N2,기다리게 해서 미안해요
お待ちください,おまちください,Please wait a moment,N2,잠시만 기다려주세요
おまちどおさま,おまちどおさま,Sorry to have kept you waiting,N2,기다리게 해서 미안해요
おめでたい,おめでたい,"happy event, matter for congratulation",N2,"기쁜 일, 축하 사항"
思い掛けない,おもいがけない,"unexpected, casual",N2,"예상치 못한, 캐주얼한"
思い切り,おもいきり,"with all one's strength (heart), resignation, resolution",N2,"온 힘을 다해(마음), 체념, 각오"
思い込む,おもいこむ,"to be under impression that, to be convinced that",N2,"~이라는 인상을 받다, ~이라고 확신하다"
思いっ切り,おもいっきり,"very, much, fully",N2,"아주, 많이, 완전히"
思いっきり,おもいっきり,to the best of one's ability,N2,최선을 다해
重たい,おもたい,"heavy, massive, serious",N2,"무거운, 대규모의, 심각한"
お休み,おやすみ,"holiday, absence; (exp.) Good night",N2,"휴일, 결석; (exp.) 잘자요"
おやつ,おやつ,"between meal snack, afternoon refreshment",N2,"식사간식, 오후 다과"
親指,おやゆび,thumb,N2,무지
オルガン,オルガン,organ,N2,오르간
御～,おん～,honorific ~,N2,존댓말 ~
恩恵,おんけい,"blessing, benefit",N2,"축복, 혜택"
温室,おんしつ,greenhouse,N2,온실
温泉,おんせん,"spa, hot spring",N2,"스파, 온천"
温帯,おんたい,temperate zone,N2,온대 지역
御中,おんちゅう,Messrs.,N2,선생님.
女の人,おんなのひと,woman,N2,여성
蚊,か,mosquito,N2,모기
カーブ,カーブ,curve; curve ball (baseball),N2,곡선; 커브볼(야구)
貝,かい,"shell, shellfish",N2,"조개, 조개"
外～,がい～,"foreign ~, outside ~",N2,"외국 ~, 외부 ~"
開会,かいかい,opening of a meeting,N2,회의의 시작
会館,かいかん,"meeting hall, assembly hall",N2,"회의실, 집회장"
改札,かいさつ,examination of tickets,N2,티켓 검사
解散,かいさん,"breakup, dissolution",N2,"이별, 해산"
海水浴,かいすいよく,"sea bathing, seawater bath",N2,"해수욕, 해수욕"
回数,かいすう,"number of times, frequency",N2,"횟수, 빈도"
回数券,かいすうけん,book of tickets,N2,티켓북
改正,かいせい,"revision, amendment, alteration",N2,"개정, 개정, 변경"
快晴,かいせい,good weather,N2,좋은 날씨
解説,かいせつ,"explanation, commentary",N2,"설명, 해설"
改造,かいぞう,remodeling,N2,중수
開通,かいつう,"opening, open",N2,"열다, 열다"
回転,かいてん,"rotation, turning",N2,"회전, 터닝"
解答,かいとう,"answer, solution",N2,"대답, 해결책"
回答,かいとう,"reply, answer",N2,"대답하다, 대답하다"
外部,がいぶ,"the outside, external",N2,"외부, 외부"
解放,かいほう,"release, liberation, emancipation",N2,"해방, 해방, 해방"
開放,かいほう,"open, throw open, liberalization",N2,"열다, 열다, 자유화"
海洋,かいよう,ocean,N2,대양
概論,がいろん,"introduction, general remark",N2,"소개, 총평"
却って,かえって,"on the contrary, rather",N2,오히려 오히려
家屋,かおく,"house, building",N2,"집, 건물"
係わる,かかわる,"to concern oneself in, to be involved in",N2,"~에 관여하다, 관여하다"
書留,かきとめ,registered mail,N2,등기우편
書取,かきとり,dictation,N2,받아쓰기
垣根,かきね,hedge,N2,방지책
限り,かぎり,"limit(s), as far as possible",N2,최대한 제한
各～,かく～,"every ~, each ~",N2,"~마다, 각각 ~마다"
架空,かくう,"imaginary, fiction, fanciful",N2,"상상의, 허구의, 공상적인"
各自,かくじ,"individual, each",N2,"개인, 각자"
拡充,かくじゅう,expansion,N2,확장
学術,がくじゅつ,"science, learning, scholarship",N2,"과학, 학습, 장학금"
各地,かくち,various parts of the country,N2,나라의 여러 지역
拡張,かくちょう,"expansion, extension",N2,"확장, 확장"
角度,かくど,angle,N2,각도
学年,がくねん,"year in school, grade in school",N2,"학년, 학년"
学部,がくぶ,"department of a university undergraduate (course, program, etc.)",N2,"대학 학부의 학과(과정, 프로그램 등)"
格別,かくべつ,exceptional,N2,특별한
確率,かくりつ,probability,N2,개연성
学力,がくりょく,"scholarship, knowledge",N2,"장학금, 지식"
掛け算,かけざん,multiplication,N2,곱셈
かけざん,かけざん,multiplication,N2,곱셈
可決,かけつ,"approval, adoption (e.g., motion, bill), passage",N2,"승인, 채택(예: 동의, 법안), 통과"
火口,かこう,crater (of a volcano),N2,분화구 (화산의)
下降,かこう,"decline, descent, fall",N2,"쇠퇴, 하강, 가을"
重ねる,かさねる,"to pile up, to heap up, to stack up, to put on top of another to repeat many times over, to go through repeatedly, to accumulate",N2,"쌓다, 쌓다, 쌓다, 쌓다, 여러 번 반복하다, 계속해서 반복하다, 쌓아 올리다"
飾り,かざり,"decoration, ornament, trimmings",N2,"장식, 장식품, 장식"
火山,かざん,volcano,N2,화산
かしこまりました,かしこまりました,Certainly,N2,틀림없이
貸し出し,かしだし,"lending, loaning",N2,"대출, 대출"
過失,かしつ,"error, mistake, negligence",N2,"오류, 실수, 과실"
果実,かじつ,fruit,N2,과일
貸間,かしま,room to let,N2,허락할 수 있는 방
貸家,かしや,house for rent,N2,임대용 주택
箇所,かしょ,"place, point, part",N2,"장소, 지점, 부분"
かしょ,かしょ,"passage, place",N2,"통로, 장소"
過剰,かじょう,"excess, over-",N2,"초과, 초과-"
かじる,かじる,"to chew, to bite (at)",N2,"씹다, 물다 (에)"
課税,かぜい,taxation,N2,과세
カセット,カセット,cassette (tape),N2,카세트(테이프)
下線,かせん,"underline, underscore",N2,"밑줄, 밑줄"
加速,かそく,acceleration,N2,가속
加速度,かそくど,acceleration,N2,가속
かたかな,かたかな,katakana,N2,가타카나
かたづく,かたづく,"to put in order, to dispose of, to solve",N2,"정리하다, 처분하다, 해결하다"
塊,かたまり,"lump, mass, cluster",N2,"덩어리, 덩어리, 클러스터"
固まる,かたまる,"to harden, to solidify, to become firm",N2,"굳어지다, 굳어지다, 단단해지다"
片道,かたみち,one-way (trip),N2,편도(여행)
傾く,かたむく,"to incline toward, to slant, to lurch",N2,"~쪽으로 기울다, 기울다, 휘청거리다"
片寄る,かたよる,"to be one-sided, to incline, to be partial",N2,"한쪽으로 치우치다, 한쪽으로 치우치다, 편파적이다"
学科,がっか,"study subject, course of study",N2,"학습과목, 학습과정"
学会,がっかい,academic conference,N2,학술회의
楽器,がっき,musical instrument,N2,악기
学級,がっきゅう,class,N2,수업
担ぐ,かつぐ,"to shoulder, to carry on shoulder",N2,"어깨에 짊어지다, 어깨에 메다"
